"Identificador do processo de viagem";"Número da Proposta (PCDP)";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço";"Data da emissão/compra";"Hora da emissão/compra"
"0000000000018288418";"000007/23-1C";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Estados Unidos da América";"";"Nova York";"Estados Unidos da América";"";"Nova York";"Brasil";"Distrito Federal";"Brasília";"7434,13";"0,00";"04/11/2022";"11:04"
"0000000000018302983";"000001/23";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Suécia";"";"Gotemburgo";"Suécia";"";"Gotemburgo";"Brasil";"São Paulo";"São Paulo";"9903,32";"4999,78";"15/09/2022";"13:39"
"0000000000018306758";"000002/23";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Suécia";"";"Gotemburgo";"Suécia";"";"Gotemburgo";"Brasil";"São Paulo";"São Paulo";"9903,32";"4999,78";"15/09/2022";"13:42"
"0000000000018306785";"000004/23";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Suécia";"";"Gotemburgo";"Suécia";"";"Gotemburgo";"Brasil";"São Paulo";"São Paulo";"9903,32";"4999,78";"15/09/2022";"13:51"
"0000000000018306786";"000003/23";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Suécia";"";"Gotemburgo";"Suécia";"";"Gotemburgo";"Brasil";"São Paulo";"São Paulo";"9903,32";"4999,78";"15/09/2022";"13:48"
